"","plot","id","vesicle_colonization","arbuscule_colonization","hyphae_colonization","date"
"1","12","1.00",0.0666666666666667,0.333333333333333,0.133333333333333,2023-04-12
"2","12","11.00",0.0666666666666667,0.333333333333333,1.26666666666667,2023-04-12
"3","12","6.00",0.2,0.333333333333333,0.2,2023-04-12
"4","12","8.00",0,0.266666666666667,0.733333333333333,2023-04-12
"5","14","2.00",0,0,0.133333333333333,2023-04-12
"6","14","37.00",0.133333333333333,0.533333333333333,1.66666666666667,2023-04-12
"7","14","80.00",0.133333333333333,0.133333333333333,0.266666666666667,2023-04-12
"8","15","1.00",0.2,0.0666666666666667,0.4,2023-04-12
"9","2408","8.00",0.266666666666667,0.466666666666667,0.2,2023-04-12
"10","2458","3.00",0.133333333333333,0.333333333333333,0.6,2023-04-12
"11","2458","7.00",0.0666666666666667,0,0.466666666666667,2023-04-12
"12","2459","12.00",0.133333333333333,0.0666666666666667,1.06666666666667,2023-04-12
"13","2459","14.00",0.0666666666666667,0.2,1.2,2023-04-12
"14","2459","3.00",0.133333333333333,0.266666666666667,0.333333333333333,2023-04-12
"15","2459","9.00",0.2,0.2,1.2,2023-04-12
"16","2460","11.00",0.133333333333333,0.266666666666667,0.933333333333333,2023-04-12
"17","2460","20.00",0.0666666666666667,0.2,0.0666666666666667,2023-04-12
"18","adult","adult",0,0.2,0.0666666666666667,2023-04-12
