plot,par_plot,par_ambient,soil_moisture,probe_length,date,community
2404,1552,1646,6.6,30 cm,15-Jul,
2405,1814,1877,,,8/5/2022,
2405,1810,1877,,,8/5/2022,
2405,1781,1887,,,8/5/2022,
2459,1763,1727,,,8/5/2022,
2458,1748,1826,,,8/5/2022,
2459,1745,1790,,,8/5/2022,
2405,1743,1885,,,8/5/2022,
2462,1739,1755,,,8/5/2022,
2462,1737,1800,,,8/5/2022,
13,1737,1423,6.7,30 cm,15-Jul,
2458,1730,1756,,,8/5/2022,
2461,1712,1719,22.9,30,6/9/2022,
2460,1703,1743,15.5,30,4/5/2022,
2460,1700,1754,19.9,30,4/5/2022,
2401,1700,1703,13.3,30,4/5/2022,
12,1699,1711,11.2,30,4/5/2022,
2460,1696,1740,17,30,4/5/2022,
12,1694,1740,10.6,30,4/5/2022,
11,1693,1738,13.4,30,4/5/2022,
11,1692,1751,16.6,30,4/5/2022,
12,1692,1705,13.9,30,4/5/2022,
2459,1692,1741,22.9,30,6/9/2022,
2405,1692,1811,,,8/5/2022,
15,1690,1711,13.2,30,4/5/2022,
2404,1689,1727,9.6,30,5/6/2022,
13,1687,1744,13.6,30,4/5/2022,
2459,1687,1724,7.3,30 cm,15-Jul,
13,1686,1709,15.1,30,4/5/2022,
2401,1685,1730,23.6,30,6/9/2022,
2401,1685,1700,6.9,30 cm,15-Jul,
13,1684,1741,15.7,30,4/5/2022,
2404,1684,1728,8.9,30,5/6/2022,
2461,1684,1710,10.9,30,5/6/2022,
12,1683,1735,13.6,30,4/5/2022,
2401,1683,1725,,,8/5/2022,
13,1682,1735,14.6,30,4/5/2022,
15,1682,1735,10.7,30,4/5/2022,
2401,1681,1697,17.9,30,4/5/2022,
2402,1680,1733,6.8,30,5/6/2022,
2403,1679,1723,17.4,30,4/5/2022,
2461,1679,1703,9.3,30,5/6/2022,
2403,1678,1722,18.9,30,4/5/2022,
2461,1678,1702,16,30,4/5/2022,
2460,1677,1732,16.8,30,4/5/2022,
2460,1677,1707,22,30,4/5/2022,
13,1677,1763,20.6,30,6/9/2022,
2458,1675,1742,15.8,30,4/5/2022,
2401,1674,1711,19.7,30,4/5/2022,
11,1674,1713,15.5,30,4/5/2022,
2462,1674,1722,7.5,30 cm,15-Jul,
2405,1673,1742,13.4,30,4/5/2022,
15,1673,1729,12.7,30,4/5/2022,
2458,1673,1727,10.3,30,5/6/2022,
2459,1672,1721,9.5,30,5/6/2022,
2459,1672,1826,,,8/5/2022,
15,1671,1741,13,30,4/5/2022,
2462,1671,1707,13.6,30,5/6/2022,
2458,1671,1750,22.1,30,6/9/2022,
12,1670,1723,13.8,30,4/5/2022,
15,1670,1711,8,30,5/6/2022,
2405,1670,1729,21.5,30,6/9/2022,
14,1669,1743,19.8,30,4/5/2022,
2462,1669,1703,11,30,5/6/2022,
2405,1669,1703,8.7,30,5/6/2022,
2462,1669,1723,24.6,30,6/9/2022,
2402,1669,1708,22.4,30,6/9/2022,
13,1668,1761,21.9,30,6/9/2022,
11,1668,1762,,,8/5/2022,
2459,1667,1719,10.3,30,5/6/2022,
12,1667,1710,6.3,30 cm,15-Jul,
2402,1666,1721,14.9,30,4/5/2022,
2461,1666,1721,16.2,30,4/5/2022,
11,1666,1716,13.5,30,4/5/2022,
15,1666,1740,14.4,30,4/5/2022,
2403,1665,1692,16.3,30,4/5/2022,
2403,1665,1670,22.4,30,6/9/2022,
2401,1664,1705,,,8/5/2022,
2461,1663,1713,15.9,30,4/5/2022,
