"","ID","Plant","Height","Width.1","Width.2","Stem.Diameter","Date.Measured","Notes"
"1",3,"ENCA",74,56.5,42.3,1.65,"2-Nov","NO LEAVES, GREEN STEM"
"2",4,"ENCA",69.5,78.3,72.1,1.4,"2-Nov","NO LEAVES, GREEN STEM"
"3",5,"CEOL",13.8,9.5,6.9,0.65,"2-Nov",""
"4",13,"HEWH",12.7,9.2,3.9,NA,"2-Nov",""
"5",23,"ENCA",56.1,38.1,19.1,1.3,"2-Nov",""
"6",24,"HEWH",8.1,7,2.9,NA,"2-Nov",""
"7",38,"HEWH",23,10,1.5,NA,"2-Nov",""
"8",69,"HEWH",22.8,23.2,20,NA,"2-Nov",""
"9",105,"MALA",113,126,98,1.45,"2-Nov",""
"10",129,"ENCA",81.2,109,102,2.4,"2-Nov",""
"11",133,"HEWH",14.4,14.1,7.8,NA,"2-Nov",""
"12",142,"RHOV",55.5,37.2,28.1,1.65,"2-Nov",""
"13",162,"HEWH",24.6,10.9,7.8,NA,"2-Nov",""
"14",164,"HEWH",26.5,16.4,13.6,NA,"2-Nov",""
"15",168,"RHOV",64.2,46.1,45.2,2.15,"2-Nov",""
"16",182,"HEWH",54.1,55,49,NA,"2-Nov",""
"17",187,"HEWH",37.5,24.1,16.1,NA,"2-Nov",""
"18",200,"HEWH",29,13.5,9.4,NA,"2-Nov",""
"19",206,"SAAP",144,67.5,65.2,2.25,"2-Nov",""
"20",227,"SAAP",19.5,18.5,17.3,0.85,"2-Nov",""
"21",284,"SANI",42.3,6.3,4.4,1.4,"2-Nov",""
"22",368,"HEWH",33.1,25.1,24.6,NA,"2-Nov",""
"23",381,"SANI",190,145,110,2.75,"2-Nov",""
"24",398,"ENCA",32.1,22.1,18.5,0.45,"2-Nov",""
"25",419,"ENCA",76.5,73,51,0.9,"2-Nov",""
"26",423,"SANI",91.5,83.2,74.1,2.05,"2-Nov",""
"27",425,"HEWH",37,31.5,26.8,NA,"2-Nov",""
"28",502,"SANI",139,87,78,3.3,"16-Nov","DAG? (LEAVES DRYING OUT)"
"29",555,"ENCA",78.1,101,78,1.3,"16-Nov",""
"30",563,"HEWH",41.2,25.3,20.2,NA,"16-Nov",""
"31",584,"SANI",11.1,13.4,6.7,1.4,"16-Nov",""
"32",624,"HEWH",35.1,46,38,NA,"16-Nov",""
"33",629,"HEWH",34.5,47.2,41.5,NA,"16-Nov",""
